RANK,TEAM,GP,WINS,LOSSES,TIES,POINTS,GF,GA,GD
1,Shukr,8,4,1,3,11,14,9,5
2,Yaqeen,8,3,2,3,9,18,15,3
3,Emaan,8,3,2,3,9,18,21,-3
4,Ikhlas,8,1,5,2,4,12,21,-9
